barrel,unique_id,bullet,tank_rash
Barrel Blue,BL B-1,Bullet 1,F
Barrel Blue,BL B-1,Bullet 2,F
Barrel Blue,BL B-1,Bullet 3,F
Barrel Blue,BL B-2,Bullet 1,F
Barrel Blue,BL B-2,Bullet 2,F
Barrel Blue,BL B-2,Bullet 3,F
Barrel Blue,BL B-3,Bullet 1,F
Barrel Blue,BL B-3,Bullet 2,F
Barrel Blue,BL B-3,Bullet 3,F
Barrel Blue,BL B-4,Bullet 1,F
Barrel Blue,BL B-4,Bullet 2,F
Barrel Blue,BL B-4,Bullet 3,F
Barrel Blue,BL B-5,Bullet 1,F
Barrel Blue,BL B-5,Bullet 2,F
Barrel Blue,BL B-5,Bullet 3,F
Barrel Blue,BL B-6,Bullet 1,F
Barrel Blue,BL B-6,Bullet 2,F
Barrel Blue,BL B-6,Bullet 3,F
Barrel Orange,BL O-1,Bullet 1,F
Barrel Orange,BL O-1,Bullet 2,F
Barrel Orange,BL O-1,Bullet 3,T
Barrel Orange,BL O-2,Bullet 1,F
Barrel Orange,BL O-2,Bullet 2,F
Barrel Orange,BL O-2,Bullet 3,F
Barrel Orange,BL O-3,Bullet 1,F
Barrel Orange,BL O-3,Bullet 2,F
Barrel Orange,BL O-3,Bullet 3,F
Barrel Orange,BL O-4,Bullet 1,F
Barrel Orange,BL O-4,Bullet 2,F
Barrel Orange,BL O-4,Bullet 3,T
Barrel Orange,BL O-5,Bullet 1,F
Barrel Orange,BL O-5,Bullet 2,F
Barrel Orange,BL O-5,Bullet 3,F
Barrel Orange,BL O-6,Bullet 1,F
Barrel Orange,BL O-6,Bullet 2,T
Barrel Orange,BL O-6,Bullet 3,T
Barrel Pink,BL P-1,Bullet 1,F
Barrel Pink,BL P-1,Bullet 2,F
Barrel Pink,BL P-1,Bullet 3,F
Barrel Pink,BL P-2,Bullet 1,F
Barrel Pink,BL P-2,Bullet 2,F
Barrel Pink,BL P-2,Bullet 3,F
Barrel Pink,BL P-3,Bullet 1,F
Barrel Pink,BL P-3,Bullet 2,F
Barrel Pink,BL P-3,Bullet 3,F
Barrel Pink,BL P-4,Bullet 1,F
Barrel Pink,BL P-4,Bullet 2,F
Barrel Pink,BL P-4,Bullet 3,F
Barrel Pink,BL P-5,Bullet 1,F
Barrel Pink,BL P-5,Bullet 2,F
Barrel Pink,BL P-5,Bullet 3,F
Barrel Pink,BL P-6,Bullet 1,F
Barrel Pink,BL P-6,Bullet 2,F
Barrel Pink,BL P-6,Bullet 3,T
